"","age","sex","race","country","education","relationship","internet_freq","internet_freq_everyday","gender_male","education_tertiary","relationship_yes","country_ke","country_za","country_ng","completition_minute","total_attention","att_check01","att_check02","att_check03","attention_score","multiple_attempts","order_attempt","sex_educ_exp","attention","PE01","PE02","PE03","FC02","EE01","EE02","SI01","SI02","SI03","SI04","AT01","AT02","AT03","BIU01","BIU02","BII01","BII02","BII03","sexEd_pref","sexEd_acc"
"11",20,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,20.4,3,1,1,1,"3","1","1","Yes",1,7,7,7,7,7,7,3,5,4,4,7,6,6,6,6,6,6,6,"Social media (Whatsapp)","Perfectly Acceptable"
"12",22,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Sometimes",0,0,1,0,1,0,0,11.1,3,1,1,1,"3","1","1","Yes",1,7,7,7,5,7,7,3,2,2,4,5,4,5,5,5,5,5,5,"Social media (Facebook)","Perfectly Acceptable"
"13",23,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,14.5,1,0,0,1,"1","1","1","No",0,4,5,5,5,4,4,4,4,3,3,5,5,2,5,4,5,5,5,"Social media (Facebook)","Acceptable"
"14",22,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,1,0,0,19.8,1,0,0,1,"1","1","1","No",0,7,7,7,5,6,6,3,3,3,4,5,5,5,5,5,5,5,5,"Mass Media (TV, Radio)","Perfectly Acceptable"
"15",24,"Male","Black/African","Kenya","Tertiary/Higher","Married/Living with Partner","Everyday",1,1,1,1,1,0,0,12.6,3,1,1,1,"3","1","1","Yes",1,7,6,7,5,7,6,5,3,4,5,6,6,5,6,5,6,5,6,"Social media (Facebook)","Perfectly Acceptable"
"16",19,"Male","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,1,1,0,1,0,0,13.3,2,0,1,1,"2","1","1","Yes",1,6,7,6,6,7,6,5,5,5,5,5,5,5,7,7,7,6,7,"Mass Media (TV, Radio)","Perfectly Acceptable"
"17",18,"Male","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,1,1,0,1,0,0,12.7,3,1,1,1,"3","1","1","Yes",1,4,4,5,5,5,4,6,5,5,5,5,5,4,6,6,6,6,6,"Social media (Whatsapp)","Acceptable"
"18",22,"Female","Black/African","Kenya","Tertiary/Higher","Married/Living with Partner","Everyday",1,0,1,1,1,0,0,15.9,3,1,1,1,"3","1","1","No",1,7,7,7,3,5,5,1,2,2,4,5,6,4,7,7,7,7,7,"A public dedicated website","Perfectly Acceptable"
"19",18,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,1,0,0,11.4,1,0,0,1,"1","1","1","No",0,5,5,5,3,5,5,5,5,3,3,5,3,4,5,5,5,5,5,"Social media (Whatsapp)","Neutral"
"20",22,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,9.6,3,1,1,1,"3","1","1","Yes",1,7,7,7,5,6,7,7,7,7,7,7,7,7,6,6,5,5,6,"Social media (Instagram)","Perfectly Acceptable"
"21",18,"Female","Black/African","Kenya","< Tertiary","Not married: not in relationship","Everyday",1,0,0,0,1,0,0,9.9,3,1,1,1,"3","1","1","Yes",1,5,5,5,6,4,4,6,7,7,7,5,5,5,7,7,7,5,6,"Social media (Facebook)","Perfectly Acceptable"
"22",20,"Female","Black/African","Kenya","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,1,0,0,10.2,1,0,0,1,"1","1","1",NA,0,6,6,6,5,6,6,4,4,3,5,5,4,5,5,6,6,6,6,"Social media (Facebook)","Acceptable"
"23",22,"Female","Black/African","Kenya","Tertiary/Higher","Married/Living with Partner","Everyday",1,0,1,1,1,0,0,17.9,3,1,1,1,"3","1","1","Yes",1,7,7,7,6,6,5,4,5,5,5,5,6,4,5,7,7,6,6,"Social media (Whatsapp)","Perfectly Acceptable"
"24",24,"Male","Black/African","Kenya","Tertiary/Higher","Married/Living with Partner","Everyday",1,1,1,1,1,0,0,5.8,3,1,1,1,"3","1","1","Yes",1,5,5,5,7,6,6,6,6,6,7,6,6,6,7,7,7,7,7,"A public dedicated website","Neutral"
"25",21,"Female","Black/African","Kenya","< Tertiary","Not married: not in relationship","Everyday",1,0,0,0,1,0,0,12.8,3,1,1,1,"3","1","1","No",1,6,7,7,6,7,7,6,7,6,7,6,6,4,7,7,7,6,6,"Social media (Twitter)","Acceptable"
"26",21,"Female","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,1,0,0,14.3,3,1,1,1,"3","1","1","No",1,7,7,7,5,6,7,5,5,5,4,5,5,5,6,5,5,4,6,"Social media (Facebook)","Perfectly Acceptable"
"27",24,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,1,0,0,7.7,1,0,0,1,"1","1","1","Yes",0,6,7,7,5,7,7,2,1,1,4,5,1,4,5,7,7,7,7,"A public dedicated website","Slightly acceptable"
"28",22,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Sometimes",0,0,1,0,1,0,0,11.6,1,0,0,1,"1","1","1","No",0,5,6,6,5,5,4,5,4,4,5,4,3,4,4,4,5,6,7,"A public dedicated website","Acceptable"
"29",20,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,1,0,0,36.6,3,1,1,1,"3","1","1","No",1,6,7,7,6,6,6,6,6,4,5,6,5,6,6,5,7,7,6,"Social media (Facebook)","Perfectly Acceptable"
"30",23,"Female","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,1,0,0,13.2,1,0,0,1,"1","1","1","No",0,6,6,6,4,4,5,2,2,2,5,5,5,5,5,5,5,5,5,"Social media (Facebook)","Acceptable"
"31",21,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,1,0,0,17.4,3,1,1,1,"3","1","1","No",1,7,7,7,4,7,7,4,5,3,5,5,4,5,5,5,5,6,7,"Social media (Whatsapp)","Acceptable"
"32",23,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,1,0,0,22.3,3,1,1,1,"3","1","1","Yes",1,6,6,7,6,6,6,4,5,5,5,6,5,6,5,5,5,5,5,"Social media (Facebook)","Perfectly Acceptable"
"33",21,"Male","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Everyday",1,1,0,1,0,1,0,9.4,0,0,0,0,"0","1","1","Yes",0,7,7,6,7,7,7,1,1,1,1,1,1,1,7,7,7,7,7,"Social media (Facebook)","Perfectly Acceptable"
"34",22,"Female","Black/African","Kenya","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,1,0,0,11.5,1,0,0,1,"1","1","1","No",0,7,7,7,5,7,7,5,5,5,5,6,5,5,7,7,7,7,7,"Social media (Facebook)","Perfectly Acceptable"
"35",21,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,7.5,3,1,1,1,"3","1","1","No",1,5,5,5,7,4,5,4,4,4,4,5,5,5,7,7,7,7,7,"Social media (Facebook)","Acceptable"
"36",20,"Female","Black/African","Kenya","< Tertiary","Not married: in a relationship ","Sometimes",0,0,0,1,1,0,0,11.5,3,1,1,1,"3","1","1","No",1,7,5,4,6,5,4,4,4,4,4,4,4,4,5,5,7,7,5,"Mass Media (TV, Radio)","Perfectly Acceptable"
"37",19,"Female","Black/African","Kenya","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,1,0,0,12.4,0,0,0,0,"0","1","1","Yes",0,7,7,7,3,4,4,5,5,5,5,5,3,4,5,5,4,4,4,"Mass Media (TV, Radio)","Acceptable"
"38",24,"Female","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,1,0,0,15.5,3,1,1,1,"3","1","1","Yes",1,6,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,4,4,"A public dedicated website","Slightly acceptable"
"39",22,"Male","Black/African","Nigeria","< Tertiary","Not married: in a relationship ","Sometimes",0,1,0,1,0,0,1,13.8,3,1,1,1,"3","1","1","No",1,6,6,6,6,6,7,5,5,5,5,5,5,5,6,6,6,6,6,"A public dedicated website","Acceptable"
"40",24,"Male","Black/African","Kenya","< Tertiary","Not married: not in relationship","Everyday",1,1,0,0,1,0,0,9.1,1,0,0,1,"1","1","1","No",0,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,"Social media (Facebook)","Acceptable"
"41",21,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,13.8,3,1,1,1,"3","1","1","No",1,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,"Social media (Whatsapp)","Acceptable"
"42",21,"Male","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,1,1,0,1,0,0,15.1,3,1,1,1,"3","1","1","No",1,6,6,5,4,4,4,3,3,3,4,5,4,3,5,5,5,5,5,"A public dedicated website","Slightly acceptable"
"43",18,"Female","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,0,1,0,8.9,2,1,0,1,"2","1","1","No",1,7,7,7,5,6,5,4,4,4,4,4,4,5,5,4,5,4,3,"Mass Media (TV, Radio)","Perfectly Acceptable"
"44",21,"Female","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,0,1,0,11.5,3,1,1,1,"3","1","1","No",1,7,7,7,6,5,5,7,7,3,7,7,5,5,7,7,7,7,7,"Mass Media (TV, Radio)","Perfectly Acceptable"
"45",20,"Male","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,0,1,0,18.2,3,1,1,1,"3","2","1","No",1,5,6,6,4,4,3,5,5,3,5,6,3,5,6,5,6,6,5,"A public dedicated website","Acceptable"
"46",23,"Female","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,0,1,0,14.8,2,0,1,1,"2","1","1","No",1,3,5,4,5,3,3,7,7,7,7,5,3,5,5,6,7,7,7,"A public dedicated website","Neutral"
"47",23,"Male","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Everyday",1,1,0,1,0,1,0,16.4,3,1,1,1,"3","1","1","No",1,5,7,6,6,6,5,6,6,5,5,6,4,5,5,6,5,7,7,"A public dedicated website","Acceptable"
"48",23,"Female","Black/African","South Africa","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,0,1,0,10.1,1,0,0,1,"1","1","1","Yes",0,6,5,6,4,5,5,3,3,3,3,4,5,4,4,4,5,4,4,"A public dedicated website","Slightly acceptable"
"49",20,"Male","Black/African","South Africa","Tertiary/Higher","Not married: not in relationship","Everyday",1,1,1,0,0,1,0,12.8,1,0,0,1,"1","1","1","Yes",0,5,5,5,5,4,5,5,5,5,5,7,7,5,5,5,6,5,5,"Social media (Facebook)","Acceptable"
"50",21,"Female","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,0,1,0,15.8,3,1,1,1,"3","1","1","No",1,6,4,3,4,3,3,1,5,4,5,4,5,4,4,4,5,5,4,NA,"Neutral"
"51",18,"Male","Others","South Africa","< Tertiary","Not married: not in relationship","Everyday",1,1,0,0,0,1,0,11.1,3,1,1,1,"3","1","1","No",1,7,7,6,5,7,5,1,4,2,3,5,7,5,5,7,5,5,5,"A public dedicated website","Neutral"
"52",20,"Female","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,0,1,0,14.8,3,1,1,1,"3","2","1","Yes",1,7,6,7,6,7,5,2,3,7,7,6,5,6,5,6,6,7,6,"A public dedicated website","Unacceptable"
"53",24,"Female","Black/African","South Africa","Tertiary/Higher","Married/Living with Partner","Everyday",1,0,1,1,0,1,0,14,3,1,1,1,"3","2","2","No",1,4,7,7,5,7,7,5,4,3,4,5,5,4,5,5,5,5,5,"Social media (Facebook)","Perfectly Acceptable"
"54",20,"Female","Others","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,0,1,0,9.3,3,1,1,1,"3","1","1","No",1,4,4,4,4,3,3,2,3,4,4,4,1,5,4,4,5,5,5,NA,"Neutral"
"55",20,"Female","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,0,1,0,9.4,3,1,1,1,"3","1","1","Yes",1,7,7,7,7,6,5,5,6,4,7,6,3,4,5,5,6,5,6,"A public dedicated website","Acceptable"
"56",19,"Male","Black/African","South Africa","< Tertiary","Not married: not in relationship","Sometimes",0,1,0,0,0,1,0,23.1,3,1,1,1,"3","1","1","No",1,5,5,6,4,5,4,4,6,6,7,5,4,4,5,5,4,4,4,"Mass Media (TV, Radio)","Perfectly Acceptable"
"57",24,"Female","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,0,1,0,15.2,3,1,1,1,"3","1","1","No",1,5,2,5,5,5,5,6,6,5,4,7,7,6,6,7,6,5,4,"A public dedicated website","Acceptable"
"58",18,"Male","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,0,1,0,10.4,1,1,0,0,"1","1","1","Yes",0,6,6,5,6,5,5,4,3,3,4,5,3,3,6,6,1,4,4,"Social media (Facebook)","Unacceptable"
"59",24,"Female","Black/African","South Africa","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,0,1,0,9.7,3,1,1,1,"3","1","1","Yes",1,7,7,7,7,6,6,2,1,1,1,5,5,5,6,7,7,6,6,"A public dedicated website","Perfectly Acceptable"
"60",20,"Female","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Occasionally/Rarely",0,0,1,1,0,1,0,13.3,0,0,0,0,"0","1","1","Yes",0,7,5,4,5,5,6,5,5,5,5,5,6,5,5,6,7,6,7,"Social media (Facebook)","Perfectly Acceptable"
"61",23,"Male","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,0,1,0,15.7,3,1,1,1,"3","1","1","No",1,6,6,6,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,"A public dedicated website","Perfectly Acceptable"
"62",20,"Female","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,0,1,0,10.5,1,0,0,1,"1","1","1","No",0,7,7,7,4,6,5,2,2,2,2,5,6,3,4,6,4,4,3,"A public dedicated website","Slightly acceptable"
"63",18,"Female","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,0,1,0,15.8,3,1,1,1,"3","1","1","Yes",1,7,7,7,4,7,7,4,4,3,4,5,5,4,7,7,7,7,7,"Social media (Facebook)","Perfectly Acceptable"
"64",22,"Female","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,0,1,0,12.6,0,0,0,0,"0","1","1","Yes",0,6,5,5,6,5,5,3,4,5,4,7,7,5,5,7,6,6,6,"Social media (Facebook)","Acceptable"
"65",20,"Female","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,0,1,0,14,3,1,1,1,"3","1","1","Yes",1,7,4,6,4,5,4,5,5,5,4,5,5,4,5,5,4,4,4,"A public dedicated website","Acceptable"
"66",23,"Female","Black/African","South Africa","< Tertiary","Not married: not in relationship","Everyday",1,0,0,0,0,1,0,12.9,3,1,1,1,"3","1","1","Yes",1,7,4,7,5,6,6,5,5,5,5,5,7,6,7,7,7,7,7,"Social media (Facebook)","Perfectly Acceptable"
"67",23,"Male","Black/African","South Africa","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,0,1,0,13.6,3,1,1,1,"3","1","1","Yes",1,7,7,7,6,6,7,6,5,7,7,7,7,6,7,7,7,7,6,"Social media (Facebook)","Perfectly Acceptable"
"68",19,"Female","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,0,1,0,11.2,3,1,1,1,"3","1","1","No",1,7,7,7,7,7,7,4,4,4,5,7,5,5,7,7,6,5,6,"Social media (Facebook)","Perfectly Acceptable"
"69",22,"Female","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,0,1,0,12.4,0,0,0,0,"0","1","1","Yes",0,7,7,7,7,7,7,1,1,1,1,1,5,1,3,3,5,5,5,"Social media (Facebook)","Perfectly Acceptable"
"70",22,"Female","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Everyday",1,0,0,1,0,1,0,6.4,1,0,0,1,"1","1","1","Yes",0,6,5,7,7,6,5,2,1,1,3,3,2,1,6,7,7,6,7,"A public dedicated website","Totally Unacceptable"
"71",18,"Female","Black/African","South Africa","< Tertiary","Not married: in a relationship ","Occasionally/Rarely",0,0,0,1,0,1,0,10.1,1,0,0,1,"1","1","1","No",0,6,6,6,5,5,4,5,5,5,5,4,5,4,4,4,5,4,4,"Mass Media (TV, Radio)","Acceptable"
"72",19,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Occasionally/Rarely",0,0,1,0,1,0,0,11.7,3,1,1,1,"3","1","1","No",1,6,6,6,4,4,4,5,5,5,3,5,5,4,5,6,6,6,6,"A public dedicated website","Neutral"
"73",20,"Female","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,1,0,0,7.8,3,1,1,1,"3","1","1","No",1,7,7,7,5,5,5,5,5,5,5,5,5,4,5,6,6,5,4,"A public dedicated website","Slightly Unacceptable"
"74",22,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,1,0,0,18,3,1,1,1,"3","1","1","No",1,7,7,7,5,7,7,6,5,7,7,5,5,5,6,6,7,7,7,"Social media (Facebook)","Acceptable"
"75",24,"Male","Black/African","Kenya","< Tertiary","Not married: not in relationship","Everyday",1,1,0,0,1,0,0,9.3,0,0,0,0,"0","1","1","Yes",0,4,1,4,6,3,7,7,7,2,1,7,7,1,5,1,1,2,1,"Social media (Facebook)","Perfectly Acceptable"
"76",23,"Female","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,1,0,0,18.7,3,1,1,1,"3","1","1","Yes",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Social media (Facebook)","Perfectly Acceptable"
"77",21,"Male","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,1,1,0,1,0,0,5.7,0,0,0,0,"0","1","1","No",0,6,5,5,6,5,5,2,2,2,2,3,1,2,5,7,6,6,5,"Mass Media (TV, Radio)","Acceptable"
"78",19,"Female","Black/African","Kenya","< Tertiary","Not married: not in relationship","Occasionally/Rarely",0,0,0,0,1,0,0,11.1,1,0,0,1,"1","1","1","Yes",0,4,4,4,4,4,5,4,4,4,5,4,4,3,4,5,5,5,5,"Social media (Whatsapp)","Slightly acceptable"
"79",23,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,20.8,3,1,1,1,"3","1","1","Yes",1,6,6,7,5,7,6,3,4,3,5,5,6,6,6,6,6,6,5,"A public dedicated website","Perfectly Acceptable"
"80",20,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Sometimes",0,0,1,0,1,0,0,12.9,0,0,0,0,"0","1","1","Yes",0,7,3,7,7,4,5,6,5,5,5,6,5,5,7,7,7,7,7,"Social media (Whatsapp)","Perfectly Acceptable"
"81",23,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Sometimes",0,1,1,1,1,0,0,15.4,3,1,1,1,"3","1","1","No",1,6,6,6,6,6,6,5,5,3,5,6,6,6,6,6,6,6,6,"Mass Media (TV, Radio)","Acceptable"
"82",24,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,12,2,1,0,1,"2","1","1","Yes",1,6,6,6,6,6,7,5,5,5,5,5,2,5,7,7,7,6,6,"Mass Media (TV, Radio)","Perfectly Acceptable"
"83",22,"Female","Others","Kenya","Tertiary/Higher","Not married: not in relationship","Sometimes",0,0,1,0,1,0,0,15.5,3,1,1,1,"3","1","1","Yes",1,7,6,7,5,6,4,4,4,4,5,6,6,5,5,5,5,5,5,"Social media (Facebook)","Perfectly Acceptable"
"84",21,"Female","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,1,0,0,11.7,3,1,1,1,"3","1","1","No",1,6,6,6,5,6,6,5,5,5,6,5,5,4,5,4,5,5,5,"A public dedicated website","Acceptable"
"85",21,"Male","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,1,1,0,1,0,0,10.9,1,0,0,1,"1","1","1","No",0,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,"Social media (Twitter)","Acceptable"
"86",24,"Male","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Sometimes",0,1,1,0,1,0,0,10.2,3,1,1,1,"3","1","1","Yes",1,5,5,5,6,5,5,3,3,3,3,3,3,3,5,6,6,6,5,"Mass Media (TV, Radio)","Neutral"
"87",24,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,15.5,3,1,1,1,"3","1","1","Yes",1,7,7,7,7,6,6,7,7,7,7,6,6,5,7,7,7,7,6,"Social media (Facebook)","Perfectly Acceptable"
"88",22,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Sometimes",0,1,1,1,1,0,0,17.4,3,1,1,1,"3","1","1","Yes",1,6,7,7,6,6,6,6,6,3,5,7,7,6,6,6,6,5,5,"A public dedicated website","Perfectly Acceptable"
"89",23,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,13,1,1,0,0,"1","1","1","No",0,6,6,7,5,7,6,5,4,4,5,5,1,4,6,7,7,7,7,"A public dedicated website","Slightly acceptable"
"90",22,"Male","Black/African","Kenya","< Tertiary","Not married: in a relationship ","Sometimes",0,1,0,1,1,0,0,16.8,1,0,0,1,"1","1","1","Yes",0,5,5,5,4,5,5,3,3,3,5,4,3,4,4,5,4,4,5,"Social media (Facebook)","Perfectly Acceptable"
"91",19,"Female","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,1,0,0,12.8,0,0,0,0,"0","1","1","No",0,7,7,7,5,6,6,5,5,5,5,5,4,5,5,5,5,5,5,"A public dedicated website","Perfectly Acceptable"
"92",24,"Male","Black/African","Kenya","< Tertiary","Married/Living with Partner","Everyday",1,1,0,1,1,0,0,8.1,0,0,0,0,"0","1","1","No",0,5,5,5,5,5,6,4,4,4,4,3,3,4,4,5,4,4,5,"Social media (Whatsapp)","Acceptable"
"93",18,"Male","Black/African","Kenya","< Tertiary","Not married: in a relationship ","Sometimes",0,1,0,1,1,0,0,8,2,1,0,1,"2","1","1","No",1,6,5,6,6,7,7,2,3,2,3,3,3,2,5,6,6,5,6,"Social media (Facebook)","Acceptable"
"94",22,"Female","Black/African","Kenya","< Tertiary","Married/Living with Partner","Sometimes",0,0,0,1,1,0,0,10.8,3,1,1,1,"3","1","1","No",1,5,5,4,5,6,6,3,4,4,5,5,5,5,5,5,6,6,5,"Social media (Facebook)","Acceptable"
"95",18,"Female","Black/African","Nigeria","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,0,0,1,9.2,3,1,1,1,"3","1","1","No",1,5,6,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4,"Social media (Whatsapp)","Acceptable"
"96",19,"Male","Black/African","Nigeria","< Tertiary","Not married: in a relationship ","Everyday",1,1,0,1,0,0,1,14.1,3,1,1,1,"3","1","1","No",1,6,5,5,3,4,4,4,4,3,2,6,5,4,6,6,6,5,4,"Social media (Facebook)","Acceptable"
"97",20,"Male","Black/African","Nigeria","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,0,0,1,11.3,0,0,0,0,"0","1","1","No",0,5,5,2,3,3,3,5,5,5,5,5,5,4,3,3,3,3,3,"Social media (Facebook)","Slightly acceptable"
"98",23,"Male","Black/African","Nigeria","Tertiary/Higher","Not married: in a relationship ","Everyday",1,1,1,1,0,0,1,8,2,0,1,1,"2","1","1","No",1,5,6,5,7,5,5,6,7,7,6,5,5,5,7,7,7,7,7,"Social media (Facebook)","Acceptable"
